"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"ADRIANA DE FATIMA SILVA";"ROCA CHIC RESTAURANTE E HAMBURGUERIA";"21.833.416/0001-60";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";12490000;"SP";"São Bento do Sapucaí";"São Bento do Sapucaí";"R PINTORA ADELAIDE AZEVEDO DE MELLO, 306";"(12) 3971-2385";"";"adrianasilva0202@gmail.com";"";"";"30/04/2015";"30/04/2017";"26.070575.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;"(""Nenhuma das Opções"")"
"AEROCALDO LTDA";"AEROCALDO";"02.933.463/0001-31";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";74075080;"GO";"Goiânia";"Setor Aeroporto";"RUA 2 A , 134 QD 5A LT 13";"(62) 3942-6064";"";"luizfernandocabral90@gmail.com";"";"";"11/11/2015";"11/11/2017";"09.038059.15.0001-2";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";0;"("""")"
"AFA HOTEIS & TURISMO LTDA";"AFA HOTEL";"84.304.765/0001-05";"Sociedade Empresária";"15/05/2010";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69908020;"AC";"Rio Branco";"Centro";"RUA FRANCO RIBEIRO,109-CENTRO";"(68) 3224-1396";"";"saulo@afabistro.com.br";"";"www.afabistro.com.br";"25/09/2014";"25/09/2016";"01.035482.15.0001-4";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";80;"(Espanhol)"
"AFONSO CELSO C CARVALHO - ME";"BALNEARIO TAMBORIL";"00.781.247/0001-92";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";65590000;"MA";"Barreirinhas";"Barreirinhas";"ESTRADA SOBRADINHO/MORRO ALTO, Nº 01 - ZONAL RURAL";"(98) 98862-3381";"(98) 99187-8070";"celsol77102@yahoo.com.br";"";"";"07/10/2015";"07/10/2017";"10.074139.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";130;"(""Nenhuma das Opções"")"
"AGROPECUARIA YEMANJA LTDA EPP";"AUXERRE FLATS E HOTEL";"08.895.384/0006-74";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";13720000;"SP";"São José do Rio Pardo";"São José do Rio Pardo";"RUA FRANCISCO GLICERIO, 477 - CXPST 41";"(19) 3608-7101";"(19) 3608-7205";"adm@auxerre.com.br";"";"";"16/03/2015";"16/03/2017";"26.068312.15.0006-6";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";60;"(Inglês)"
"AGX COMERCIO DE ALIMENTOS LTDA";"DOMINO'S PIZZA - BATEL";"12.430.573/0001-34";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";80420090;"PR";"Curitiba";"Batel";"AV. DO BATEL, 1280";"(41) 3343-9000";"(41) 3343-9000";"bguerios@hotmail.com";"lguerios@hotmail.com";"www.dominos.com.br";"24/07/2014";"24/07/2016";"18.041165.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";20;"(""Inglês,Espanhol"")"
"AGX COMERCIO DE ALIMENTOS LTDA";"DOMINO'S PIZZA - PORTÃO";"12.430.573/0002-15";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";80620010;"PR";"Curitiba";"Água Verde";"AVENIDA REPÚBLICA ARGENTINA, 1602";"(41) 3153-0300";"";"lguerios@hotmail.com";"bguerios@hotmail.com";"www.dominos.com.br";"29/07/2014";"29/07/2016";"18.041166.15.0002-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";12;"(""Inglês,Espanhol"")"
"AGX II - PIZZARIA EIRELI";"DOMINO'S PIZZA - JUVEVÊ";"18.804.418/0001-17";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";80040310;"PR";"Curitiba";"Juvevê";"RUA AUGUSTO STRESSER, 973";"(41) 3153-0900";"";"lguerios@hotmail.com";"bguerios@hotmail.com";"www.dominos.com.br";"24/07/2014";"24/07/2016";"18.065017.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";22;"(""Inglês,Espanhol"")"
"AILTON CESAR DA SILVA EIRELI";"PIRACICABAS RESTAURANTE";"17.670.956/0001-01";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78195000;"MT";"Chapada dos Guimarães";"Chapada dos Guimarães";"RUA CIPRIANO CURVO, 580, CENTRO";"(65) 9317-9673";"(65) 3301-3129";"piracicabarestaurante@gmail.com";"";"";"14/03/2016";"14/03/2018";"13.077257.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";180;"(Inglês)"
"AIMAR TINA - ME";"GENGHIS KHAN CULINÁRIA ORIENTAL";"17.677.161/0001-17";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79805010;"MS";"Dourados";"Jardim Central";"RUA MAJOR CAPILÉ Nº 995";"(67) 3422-1516";"(67) 9964-8230";"contabilbandeirantes@top.com.br";"";"";"23/07/2015";"23/07/2017";"12.072344.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";60;"(Japonês)"
"AKAHOSHI & AKAHOSHI LTDA - ME";"OLD DOG";"19.586.662/0001-13";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79801004;"MS";"Dourados";"Centro";"AVENIDA MARCELINO PIRES Nº 3.148";"(67) 3033-0641";"(67) 9603-2170";"olddogdourados@gmail.com";"";"";"22/07/2015";"22/07/2017";"12.065149.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";140;"(""Nenhuma das Opções"")"
"ALANIA FERNANDA DA COSTA BARROS ME";"ALANIA FERNANDA DA COSTA BARROS ME";"14.593.087/0001-62";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";57150000;"AL";"Pilar";"Pilar";"VILA SANTA RITA 3033";"(82) 3265-1265";"";"alaniabarros@hotmail.com";"";"";"06/01/2016";"06/01/2018";"02.058670.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5510-8/01-HOTEL COM OU SEM SERVIÇO DE RESTAURANTE (Secundário)";50;"(""Nenhuma das Opções"")"
"ALAY N BARCELOS - ME";"POUSADA MORADA DA LUA";"14.683.166/0001-64";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79390000;"MS";"Bodoquena";"Bodoquena";"ESTRADA MORRO CASCAVEL KM 18 - FAZ. MORADA DA LUA";"(67) 3269-1390";"";"sovernigoconsultoria@hotmail.com";"crjj@crjjcontabilidade.com.br";"";"27/11/2014";"27/11/2016";"12.054739.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5510-8/01-HOTEL (Secundário)";36;"(""Nenhuma das Opções"")"
"ALCINO ALBERTO NASCIMENTO DOS SANTOS 08650084427";"RESTAURANTE DEGHUST";"22.564.155/0001-93";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";59290000;"RN";"São Gonçalo do Amarante";"São Gonçalo do Amarante";"RUA PRINCIPAL PAJUÇARA, 95 - PAJUÇARA";"(84) 99483-6566";"";"alcinonassam@gmail.com";"";"";"05/01/2016";"05/01/2018";"20.075968.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;"(""Nenhuma das Opções"")"
"ALDEIA CHOPERIA LTDA - ME";"ALDEIA CHOPERIA";"12.029.821/0001-30";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";76270000;"GO";"Jussara";"Jussara";"AV ALMIRANTE SALDANHA  N 50 QD 03 LT 5/6 SL 01/02 VILA REBOUÇAS";"(62) 3373-2558";"";"lanchoneteterrasanta@hotmail.com";"";"";"17/11/2015";"17/11/2017";"09.055545.15.0001-8";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";176;"(""Nenhuma das Opções"")"
"ALDINEIA FURTADO DA FONSECA";"CHURRASCARIA DO URUBUI";"08.977.334/0001-21";"Sociedade Simples";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69735000;"AM";"Presidente Figueiredo";"Presidente Figueiredo";"EST CACHOEIRA DO URUBUI NR 222";"(92) 9127-0007";"";"zs-peterson@hotmail.com";"";"";"03/08/2015";"03/08/2017";"03.049982.15.0001-7";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";100;"(""Inglês,Espanhol"")"
"ALDIOMARQUES BEZERRA DAMASCENO - ME";"FRANGO DOURADO";"11.214.626/0001-17";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";62940000;"CE";"Morada Nova";"Morada Nova";"RUA MARTINHO LUTERO, Nº 2441";"(88) 3422-1534";"";"hotel_granmarques@hotmail.com";"";"";"14/04/2015";"14/04/2017";"06.070237.15.0001-9";"5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";80;"(""Nenhuma das Opções"")"
"ALDO XAVIER - ME";"LIDER CONVENIENCIA";"14.496.286/0001-52";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";79220000;"MS";"Nioaque";"Nioaque";"AV. VISCONDE DE TAUNAY, 645";"(67) 9613-2200";"";"aldo.xavier@hotmail.com";"";"";"23/09/2015";"23/09/2017";"12.073716.15.0001-3";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";10;"(""Nenhuma das Opções"")"
"ALESSANDRA RIBEIRO BOTELHO";"LANCHONETE CEBOLAO";"10.715.468/0001-16";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";76420000;"GO";"Niquelândia";"Niquelândia";"A GO 532 KM 30 SN MARGEM ESQUERDA ZONA RURAL";"(62) 3354-1615";"";"sc-contabil@hotmail.com";"";"";"18/02/2016";"18/02/2018";"09.076724.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";26;"(""Nenhuma das Opções"")"
"ALESSANDRO GAMA RÉGIS - ME";"SANDROS BAR";"00.378.163/0001-02";"Empresário Individual (Não MEI)";"04/01/1995";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";62840000;"CE";"Beberibe";"Beberibe";"RUA DA PRAIA, S/N - MORRO BRANCO";"(85) 8549-1961";"(85) 9957-1062";"sandragamaregis@gmail.com";"";"";"04/11/2014";"04/11/2016";"06.034139.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";500;"(""Francês,Inglês,Italiano,Japonês"")"
"ALEX TADEU DAMICO POUSADA - ME";"POUSO SAMBAQUIS & CIRIBAI";"12.710.988/0001-61";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";11630000;"SP";"Ilhabela";"Ilhabela";"RUA POSSIDONIO GOMES DA SILVA,111";"(12) 3896-5202";"(12) 3896-5202";"alex@ciribai.com";"";"www.ciribai.com";"07/01/2015";"07/01/2017";"26.068440.15.0001-0";"7912-1/00-OPERAÇÃO DE TURISMO; SERVIÇOS DE (Secundário), 5510-8/01-HOTEL (Secundário), 5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";24;"(""Inglês,Espanhol"")"
"ALEXANDRE AUGUSTO CROCCO PRETO-ME";"EMPORIO DA CHAPADA";"17.276.424/0001-86";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";73770000;"GO";"Alto Paraíso de Goiás";"Alto Paraíso de Goiás";"AV ARY RIBEIRO VALADAO 528 QD: 13 LT:14 SETOR CENTRAL";"(62) 3446-1527";"";"emporioalto@gmail.com";"";"";"13/11/2015";"13/11/2017";"09.074886.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";48;"(""Nenhuma das Opções"")"
"ALEXANDRE FREDRICH - ME";"RESTAURANTE E LANCHONETE DO BOSQUE";"14.905.864/0001-67";"Empresário Individual (Não MEI)";"01/08/2004";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79290000;"MS";"Bonito";"Bonito";"ROD. BONITO/GUIA LOPES, SN, BALNEARIO MUNICIPAL";"(67) 9985-2600";"";"escrita@asteccontabil.com";"";"";"01/09/2015";"01/09/2017";"12.073196.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(""Inglês,Espanhol"")"
"ALEXANDRE MAIA DE FARIAS ME";"HARAS DO MAR";"10.331.768/0001-00";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";58322000;"PB";"Conde";"Conde";"RUA PROJETADA S/A LOTES 11/12 QUADRA M-02 LOT CID BAL NOVO MUNDO";"(83) 9988-1200";"";"alexmaia@globo.com";"";"";"30/12/2015";"30/12/2017";"15.056586.15.0001-9";"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";100;"("""")"
"ALEXANDRE TAYSON SANTOS - ME";"RESTAURANTE E LANCHONETE VALE VERDE";"14.673.976/0001-30";"Empresário Individual (Não MEI)";"30/04/2008";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78820000;"MT";"Jaciara";"Jaciara";"ROD. BR 364, S/N KM 243, BAIRRO: SANTA LUZIA";"(66) 3461-1235";"(66) 3521-1058";"valeverdejaciara@hotmail.com";"";"";"22/07/2014";"22/07/2016";"13.064970.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;"(""Nenhuma das Opções"")"
"ALEXANDRO LUIZ - SAO SEBASTIAO - ME";"SORVETERIA SUNDAE";"02.831.735/0001-92";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";11600000;"SP";"São Sebastião";"São Sebastião";"AV ITATINGA, 288 - LOJAS 1 E 2";"(12) 3892-4538";"";"alesorveteriasundae@gmail.com";"";"";"29/04/2016";"29/04/2018";"26.078257.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";36;"(""Nenhuma das Opções"")"
"ALIBABA COMERCIO DE ALIMENTO LTDA-ME";"ALIBABA E OS 40 SABORES";"09.457.309/0001-80";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";66055080;"PA";"Belém";"Umarizal";"RUA BERNAL DO COUTO, Nº 238";"(91) 3242-5454";"";"alibababelem@hotmail.com";"";"www.alibababelem.com.br";"26/08/2014";"26/08/2016";"14.065785.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;"("""")"
"ALIMENTOS NATURAIS COMERCIAL LTDA-ME";"NATURAL ALIMENTOS";"01.506.917/0001-25";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74043020;"GO";"Goiânia";"Setor Central";"AV TOCANTINS 683 QD: 70 LT:77/20";"(62) 3089-0999";"";"orlindofernando@gmail.com";"";"";"28/10/2015";"28/10/2017";"09.074655.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;"(""Nenhuma das Opções"")"
"ALIMENTTA RESTAURANTE LTDA - ME";"RESTAURANTE SABOR DA SERRA";"00.360.212/0001-80";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78300000;"MT";"Tangará da Serra";"Tangará da Serra";"AV. VEREADOR NILO TORRES , 751-W, SL. 24, PARQUE LEBLON";"(65) 3326-7457";"";"queromaistga@hotmail.com";"";"";"06/04/2015";"06/04/2017";"13.052092.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";130;"(""Nenhuma das Opções"")"
"ALL CHEESE ALIMENTOS LTDA";"COMPANHIA DO GRELHADO";"04.886.649/0001-02";"Sociedade Empresária";"01/02/2002";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74810907;"GO";"Goiânia";"Jardim Goiás";"AV. DEP. JAMEL CE. 3.300 QD 34 LT 2-E S.T-116 SHOP. FLAMBOAN";"(62) 3945-4667";"(62) 3941-8859";"moni@companhiadogrelhado.com.br";"";"WWW.COMPANHIADOGRELHADO.COM.BR";"30/03/2015";"30/03/2017";"09.036294.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(""Inglês,Espanhol"")"
"ALMEIDA CAFE COMERCIO DE ALIMENTICIOS LTDA - ME";"CASA PILÃO";"21.582.583/0001-86";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";78050000;"MT";"Cuiabá";"Bosque da Saúde";"AV. HISTORIADOR RUBENS DE MENDONÇA, Nº 3300, LOJA 1050, ANEXO SHOPPING PANTANAL";"(65) 9318-6446";"";"interagerh@terra.com.br";"";"";"12/02/2015";"12/02/2017";"13.069141.15.0001-9";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";36;"(""Nenhuma das Opções"")"
"ALMEIDA E DIAS LTDA - ME";"SKINÃO LANCHES";"12.098.377/0001-04";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";79300040;"MS";"Corumbá";"Centro";"RUA TREZE DE JUNHO 992";"(67) 3231-7480";"(67) 9245-7526";"laurenice83@hotmail.com";"rmcont.contabil@hotmail.com";"";"06/07/2015";"06/07/2017";"12.055075.15.0001-8";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";100;"(Espanhol)"
"ALMEIDA PASSOS ALIMENTOS LTDA - ME";"ALMEIDA PASSOS ALIMENTOS";"21.468.524/0001-81";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78280000;"MT";"Mirassol D'Oeste";"Mirassol D'Oeste";"AV. GERMANO GREVE, 427";"(65) 8449-8028";"";"marisnut@hotmail.com";"";"";"09/06/2015";"09/06/2017";"13.071362.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";40;"(""Nenhuma das Opções"")"
"ALOPESCOMERCIAL LTDA ME";"A FAZENDINHA";"11.301.609/0001-17";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";29153084;"ES";"Cariacica";"Porto de Santana";"RUA DA ASSEMBLEIA N 29";"(27) 3236-6160";"";"distribuidoralelei@hotmail.com";"";"";"21/10/2014";"21/10/2016";"08.067021.15.0001-0";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";20;"(""Nenhuma das Opções"")"
"ALQUIMIA RESTAURANTE";"AC ALQUIMIA RESTAURANTE LTDA ME";"13.652.337/0001-25";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";72940000;"GO";"Abadiânia";"Abadiânia";"AV.FRANCISCA TEIXEIRA DAMAS SN QD.18 LOTE 02";"(62) 3343-1023";"";"am.lima61@uol.com.br";"";"";"08/08/2014";"08/08/2016";"09.065388.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";60;"(""Nenhuma das Opções"")"
"ALVARO REMIGIO DE ARAUJO FILHO 03892395349";"CASA DE EVENTOS PALCO";"17.101.341/0001-56";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";68747000;"PA";"Apeú";"Apeú";"AVENIDA BARÃO DO RIO BRANCO, 566 ";"(91) 98158-7847";"";"acyayres@hotmail.com";"";"";"23/06/2015";"23/06/2017";"14.071686.15.0001-7";"8230-0/02-CASAS DE FESTA E EVENTOS (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";150;"("""")"
"ALVES & CARNEIRO RESTAURANTE LTDA - ME";"RESTAURANTE ENGENHO D' OURO - A CASA DA GALINHA CAIPIRA";"11.242.459/0001-18";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";23970000;"RJ";"Parati";"Parati";"ESTRADA PARATI-CUNHA, S/N KM 08";"(24) 99222-7462";"(24) 99982-8045";"ericobudapa@hotmail.com";"";"";"23/06/2015";"23/06/2017";"19.071687.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";90;"(Inglês)"
"ALVES & DANIA LTDA - ME";"ESTALAGEM USINA VELHA";"07.547.527/0001-80";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";37460000;"MG";"Passa Quatro";"Passa Quatro";"ROD MG 158";"(35) 3372-3556";"";"cristina@hotmail.com";"";"";"30/03/2015";"30/03/2017";"11.069929.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;"(Inglês)"
"ALVES BRANCO COM DE PROD ALIMENTÍCIOS  LTDA EPP";"RESTAURANTE TUCANOS GRILL";"01.776.980/0001-81";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71805700;"DF";"Riacho Fundo";"Riacho Fundo";"QN 07 CONJ 02 LOTE 06";"(61) 8431-8688";"(61) 3399-0805";"alvesbranco88@gmail.com";"";"";"19/08/2015";"19/08/2017";"07.041394.15.0001-6";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";120;"(""Nenhuma das Opções"")"
"ALVES CARDOSO COMÉRCIO DE PROD. ALIMENTÍCIOS LTDA";"RESTAURANTE TUCANOS GRILL";"09.097.935/0001-02";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71820512;"DF";"Riacho Fundo";"Riacho Fundo";"CLS 4 BLOCO B LOTE 1 LOJA 1";"(61) 3399-0805";"";"alvesbranco88@gmail.com";"";"";"19/08/2015";"19/08/2017";"07.045323.15.0001-2";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";170;"(""Nenhuma das Opções"")"
"AMAR A PIZZA  PIZZARIA   LTDA";"AMAR A PIZZA PIZZARIA";"10.738.606/0001-82";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74565450;"GO";"Goiânia";"Setor Urias Magalhães";"AV.CENTRAL  N°1045  QD.70  LT.34 ";"(62) 3095-3771";"";"controlarbrasil@controlarbrasil.com.br";"";"";"12/11/2015";"12/11/2017";"09.040732.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(Espanhol)"
"AMICO ASA NORTE COMÉRCIO DE ALIMENTOS LTDA - EPP";"DOMINO'S PIZZA";"20.175.900/0001-87";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70752520;"DF";"Brasília";"Asa Norte";"SHCN CL QUADRA 109 BLOCO B LOJA 01, SUBSOLO 5 E 71, TÉRREO";"(61) 2222-0000";"(61) 8596-3106";"naoinformouemail@naoinformou.email.com";"";"";"20/11/2014";"20/11/2016";"07.067658.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";40;"(Espanhol)"
"AMICO GOIANIA COMERCIO DE ALIMENTOS LTDA";"DOMINO'S PIZZA";"24.660.065/0001-21";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";74180040;"GO";"Goiânia";"Setor Marista";"AV 136 638 LOJA 01 SETOR MARISTA";"(61) 3363-3809";"";"contato@volpeconsultoria.com";"";"";"20/06/2016";"20/06/2018";"09.079304.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";40;"(Espanhol)"
"ANA KARINA SANTOS MONTEIRO LOPES 77878779520";"COZINHA ARTESANAL";"17.674.563/0001-68";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";40230731;"BA";"Salvador";"Federação";"AV. VASCO DA GAMA, 533";"(71) 4141-7220";"";"cozinha@cozinhartesanal.com.br";"";"www.cozinhaartesanal.com.br";"03/12/2014";"03/12/2016";"05.067920.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(""Nenhuma das Opções"")"
"ANA LOURDES DIAS PEDROSO DA CRUZ  62136593153";"ANA LOURDES DIAS CARDOSO DA CRUZ";"13.097.676/0001-97";"Microempreendedor Individual (MEI)";"24/11/2009";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78460000;"MT";"Nobres";"Nobres";"AV DAS FLORES, S/N°, BOM JARDIM";"(65) 9639-3076";"";"inaiafrancis@hotmail.com";"";"";"13/08/2015";"13/08/2017";"13.072782.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";30;"(""Nenhuma das Opções"")"
"ANA LUCIA DA C. SARAIVA-ME";"SABOREA";"83.578.393/0001-42";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";68742750;"PA";"Castanhal";"Estrela";"RUA SENADOR LEMOS, 261 ";"(91) 3721-4084";"";"eryholanda@hotmail.com";"";"";"23/06/2015";"23/06/2017";"14.071690.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;"("""")"
"ANA LUCIA DAFFERNER";"RESTAURANTE LA CABANA";"08.451.308/0001-65";"Sociedade Empresária";"07/12/2006";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";45530000;"BA";"Itacaré";"Centro";"RUA PEDRO LONGO, 559";"(73) 3251-3464";"";"analacabana@gmail.com";"";"";"22/10/2014";"22/10/2016";"05.037014.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;"("""")"
